Time,GH2-NO2,GH3-NO3,GH4-NO2
1,3,3.56666,7.97666
2,2.49667,3.48334,7.32334
3,2.155,4.825,6.6125
4,3.1175,3.0475,5.9475
5,6.2075,4.7925,5.9925
6,16.62,10.6525,9.14999
7,29.57,22.7225,17.52
8,31.65,29.6225,24.53
9,21.965,24.83,26.7775
10,18.9325,28.4,21.9625
11,15.615,20.5275,20.7225
12,14.235,21.56,17.9625
13,13.8175,15.6425,15.8075
14,16.735,12.3225,14.5925
15,16.9025,11.8775,16.2275
16,22.55,17.95,17.92
17,25.93,25.285,20.6925
18,20.2875,19.5125,20.6875
19,12.03,16.6825,16.31
20,7.735,10.71,11.995
21,7.0525,12.2925,11.0275
22,6.99499,8.9375,10.1625
23,7.24,9.77251,10.4075
24,6.41,5.96751,9.765
